 Date,Product name,Plan Base Volume (L),Flavor (%),Sugar (%),Flavor mix (kg),Sugar (kg),Plan Total mixd yogh(kg),Pack size (g),Packed no/trays,Packed yogh (kg),Plan Yield %,Actual Yield %,Recipe check
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
,,,#N/A,#N/A,#N/A,#N/A,,,,,,0.00%,
